user_id,muito_faceis,faceis,medias,dificeis,muito_dificeis
c6ce5d7f-c3bf-4a24-b7e5-307d476f6507,"[12, 0, 9]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
d13069d4-68e1-46d2-bbef-279a7258a214,"[15, 0, 6]","[33, 0, 17]","[34, 1, 7]","[6, 0, 2]","[1, 0, 1]"
526fc64d-54d3-46a9-9260-fcdc92b97f9e,"[15, 0, 6]","[30, 0, 20]","[33, 0, 9]","[6, 0, 2]","[1, 0, 1]"
1e020022-8c20-45d4-8ce0-595bbe01a2b3,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
51497b50-c8ed-47bb-8186-29c1ba02094b,"[15, 0, 6]","[29, 0, 21]","[30, 0, 12]","[6, 0, 2]","[0, 1, 1]"
08bc5dbc-881c-4855-8a4e-041ab432a772,"[12, 0, 9]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
b76cad98-c6d0-4d5a-a9f6-2b04247b227f,"[15, 0, 6]","[30, 0, 20]","[34, 0, 8]","[6, 0, 2]","[1, 0, 1]"
02252e3c-f6dc-4d1e-a5bb-60317e1e309f,"[13, 0, 8]","[19, 0, 31]","[11, 0, 31]","[3, 0, 5]","[1, 0, 1]"
bbdfd9be-22c9-48c5-8064-ddab3ff9576d,"[9, 0, 12]","[22, 0, 28]","[17, 0, 25]","[5, 1, 2]","[1, 0, 1]"
02326952-0969-4320-8a8a-b89e5072edb5,"[17, 0, 4]","[38, 0, 12]","[39, 0, 3]","[7, 0, 1]","[2, 0, 0]"
7d8434a4-12ce-4b6d-8b03-a76ad3082013,"[10, 0, 11]","[22, 1, 27]","[23, 2, 17]","[6, 0, 2]","[1, 0, 1]"
644c3fcf-743a-4183-aca2-2c179e6e2d8c,"[9, 0, 12]","[22, 0, 28]","[17, 0, 25]","[5, 0, 3]","[1, 0, 1]"
07a33f1d-2e32-4739-91bf-f798f9d1bee3,"[16, 0, 5]","[46, 0, 4]","[28, 1, 13]","[6, 0, 2]","[1, 0, 1]"
1d191d7e-45ca-4426-ae86-848c4e46321c,"[13, 0, 8]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[0, 1, 1]"
b7ea3f7c-4d01-474c-8b3a-a5c08060a427,"[13, 0, 8]","[23, 0, 27]","[27, 0, 15]","[4, 0, 4]","[1, 0, 1]"
8d6cd9b1-523d-4497-a6bb-048c3f0ade36,"[8, 0, 13]","[12, 0, 38]","[6, 0, 36]","[0, 0, 8]","[0, 0, 2]"
1a3aa181-9fc6-41e1-b61a-febd18f4eb23,"[0, 0, 21]","[0, 0, 50]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
7835fcc6-cd96-4947-ab1e-ff0ef07ff3ce,"[8, 0, 13]","[9, 0, 41]","[11, 0, 31]","[1, 0, 7]","[0, 0, 2]"
eff0a868-2964-4e26-babd-d7cc4f46f5bb,"[8, 0, 13]","[23, 0, 27]","[25, 0, 17]","[5, 0, 3]","[0, 0, 2]"
e1ae8ef9-4254-4faa-a195-4f5c3d7c0c58,"[9, 0, 12]","[10, 0, 40]","[4, 0, 38]","[1, 0, 7]","[0, 0, 2]"
a60a35b7-35b8-4b62-8aaf-61b4e2fb871b,"[13, 0, 8]","[16, 2, 32]","[24, 0, 18]","[4, 0, 4]","[1, 0, 1]"
4ac16d78-4352-4207-a230-8918dd122ebb,"[15, 0, 6]","[29, 0, 21]","[33, 0, 9]","[6, 0, 2]","[1, 0, 1]"
59c3fcd8-f8b3-45fd-a862-7044cd25b2ff,"[15, 0, 6]","[27, 0, 23]","[30, 0, 12]","[6, 0, 2]","[1, 0, 1]"
aba04316-d845-4dac-8fa8-8a078a1f442e,"[17, 0, 4]","[34, 0, 16]","[36, 0, 6]","[6, 0, 2]","[1, 0, 1]"
0788a421-1c7e-495d-a6dc-0318ccc0cbbb,"[3, 0, 18]","[4, 4, 42]","[1, 0, 41]","[0, 0, 8]","[0, 0, 2]"
e9a433a0-d711-4dc9-ba8a-fa3940ad903c,"[3, 0, 18]","[9, 0, 41]","[4, 0, 38]","[0, 0, 8]","[0, 0, 2]"
f0f2c531-30e0-41ce-9bbf-073da62535ca,"[3, 0, 18]","[8, 1, 41]","[2, 0, 40]","[0, 0, 8]","[0, 0, 2]"
dcfadc3e-3540-4b65-b321-65457c392a32,"[0, 0, 21]","[0, 0, 50]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
8fda635d-dcba-4c30-9f54-c5d0b8b07dc9,"[3, 0, 18]","[5, 0, 45]","[2, 0, 40]","[0, 0, 8]","[0, 0, 2]"
44649fb6-5b5f-42dd-986c-ee501f3e872a,"[15, 0, 6]","[37, 0, 13]","[35, 0, 7]","[6, 0, 2]","[0, 1, 1]"
a05ddf8e-dc43-4975-9d8f-ca58302d1fdd,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
2fc74ce6-7abd-468d-8fd8-9ae26083d6dd,"[15, 0, 6]","[29, 0, 21]","[31, 0, 11]","[5, 0, 3]","[0, 0, 2]"
4e77d719-9428-4785-a819-53c7c4353c38,"[13, 0, 8]","[29, 0, 21]","[26, 0, 16]","[4, 0, 4]","[0, 0, 2]"
3ac221da-ca18-4dfa-bbc4-27c5b92b9411,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
1cabce95-e019-4a12-98ab-61ea740bafb8,"[8, 0, 13]","[10, 2, 38]","[7, 0, 35]","[1, 0, 7]","[0, 0, 2]"
94d7feb3-f329-4ec6-aa1c-abd8d20180b7,"[12, 0, 9]","[23, 0, 27]","[25, 0, 17]","[5, 1, 2]","[0, 1, 1]"
b34ade9a-65d6-4306-b8f5-d5521107cb46,"[17, 0, 4]","[36, 1, 13]","[38, 0, 4]","[7, 0, 1]","[1, 0, 1]"
e84f1dd5-538c-43a2-9447-daf8f732d576,"[13, 0, 8]","[23, 0, 27]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
e0d56649-0b31-44b2-8fa4-5f177724e11a,"[13, 0, 8]","[23, 1, 26]","[28, 0, 14]","[6, 0, 2]","[1, 0, 1]"
634848b0-eb42-4445-8f2d-625635be3b18,"[15, 0, 6]","[29, 0, 21]","[29, 1, 12]","[6, 0, 2]","[1, 0, 1]"
ac25b55b-b3e9-43c8-aac2-68b0c3227d66,"[15, 0, 6]","[27, 0, 23]","[29, 0, 13]","[6, 0, 2]","[0, 0, 2]"
64411e07-ec46-425f-95fb-fbda6ea9130b,"[0, 0, 21]","[0, 0, 50]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
daaeb900-282d-4cf1-9b59-105879e52684,"[21, 0, 0]","[46, 1, 3]","[42, 0, 0]","[7, 0, 1]","[2, 0, 0]"
e5bf5b77-2f4a-490b-991f-e50d7f916342,"[0, 0, 21]","[0, 0, 50]","[0, 0, 42]","[0, 0, 8]","[0, 0, 2]"
c0b8b2c2-5709-47e2-ab22-f22e19b7e0b1,"[5, 0, 16]","[5, 0, 45]","[4, 0, 38]","[1, 0, 7]","[0, 0, 2]"
ca2160d8-4a8f-4a4c-8368-24dac6bf0107,"[14, 0, 7]","[28, 0, 22]","[30, 0, 12]","[6, 0, 2]","[1, 0, 1]"
4f5fd914-b6c5-47b3-95be-5e550f085695,"[7, 0, 14]","[9, 0, 41]","[4, 0, 38]","[0, 0, 8]","[0, 0, 2]"
4cf631ff-1622-46ca-a5f3-3c5a052d5136,"[21, 0, 0]","[50, 0, 0]","[42, 0, 0]","[8, 0, 0]","[2, 0, 0]"
def2b0a1-9c96-4661-ab39-56b854b2fb91,"[10, 0, 11]","[11, 0, 39]","[5, 1, 36]","[0, 0, 8]","[0, 0, 2]"
b4c4fb9b-b3cd-4bb2-83bd-41f0e97e76b7,"[6, 0, 15]","[12, 0, 38]","[7, 0, 35]","[0, 0, 8]","[0, 0, 2]"
e76a35d8-afa6-4991-9937-01d085055f29,"[14, 0, 7]","[25, 0, 25]","[27, 0, 15]","[5, 1, 2]","[0, 1, 1]"
61d2ea5c-d208-4d96-8c21-ba6c2ba358f9,"[7, 0, 14]","[16, 0, 34]","[15, 0, 27]","[2, 0, 6]","[0, 0, 2]"
