data,qnt_de_submissoes
28-02-24,1
29-02-24,13
03-03-24,37
04-03-24,3249
05-03-24,858
06-03-24,1204
07-03-24,305
08-03-24,189
09-03-24,457
10-03-24,313
11-03-24,4131
12-03-24,477
13-03-24,1475
14-03-24,823
15-03-24,282
16-03-24,630
17-03-24,451
18-03-24,4205
19-03-24,945
20-03-24,1354
21-03-24,694
22-03-24,342
23-03-24,587
24-03-24,807
25-03-24,3625
26-03-24,836
27-03-24,1348
28-03-24,349
29-03-24,588
30-03-24,128
01-04-24,1491
02-04-24,480
03-04-24,421
04-04-24,123
05-04-24,329
06-04-24,341
07-04-24,229
08-04-24,2152
09-04-24,376
10-04-24,607
11-04-24,541
12-04-24,1367
13-04-24,1388
14-04-24,347
15-04-24,1584
16-04-24,189
17-04-24,524
18-04-24,114
19-04-24,118
21-04-24,32
22-04-24,153
23-04-24,112
24-04-24,211
25-04-24,215
26-04-24,104
27-04-24,59
28-04-24,58
29-04-24,82
30-04-24,92
01-05-24,125
02-05-24,97
03-05-24,93
04-05-24,31
05-05-24,86
06-05-24,135
07-05-24,63
08-05-24,30
09-05-24,44
10-05-24,88
11-05-24,27
12-05-24,1
14-05-24,62
15-05-24,33
16-05-24,51
17-05-24,28
18-05-24,104
20-05-24,93
22-05-24,4
23-05-24,85
24-05-24,38
25-05-24,27
26-05-24,36
27-05-24,26
28-05-24,51
29-05-24,26
30-05-24,2
01-06-24,28
02-06-24,77
03-06-24,14
04-06-24,111
05-06-24,36
06-06-24,14
07-06-24,37
08-06-24,93
